Time,X,Rho,P,U,W
0.000222,25.763602,36.938000,27754941.270154,100.288153,0.000000
0.000222,25.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,25.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,26.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,26.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,26.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,26.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,26.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,26.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,26.652021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,26.763602,36.938000,27754941.270154,100.288153,0.000000
0.000222,26.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,26.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,27.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,27.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,27.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,27.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,27.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,27.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,27.652021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,27.763602,36.938000,27754941.270154,100.288153,0.000000
0.000222,27.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,27.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,28.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,28.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,28.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,28.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,28.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,28.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,28.652021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,28.763602,36.938000,27754941.270154,100.288153,0.000000
